index,zone,wind onshore,wind offshore,solar,utc_timestamp
t2759,DE,0.1266975959510755,0.14775160599571735,0.0,2017-04-25 22:00:00
t2760,DE,0.11727822297202306,0.11777301927194861,0.0,2017-04-25 23:00:00
t2761,DE,0.10521580205257978,0.13576017130620985,0.0,2017-04-26 00:00:00
t2762,DE,0.09413749472796289,0.10299785867237687,0.0,2017-04-26 01:00:00
t2763,DE,0.09351890903978631,0.08565310492505353,0.0,2017-04-26 02:00:00
t2764,DE,0.08736116968930129,0.06209850107066381,0.00018093652746616488,2017-04-26 03:00:00
t2765,DE,0.07513004358217348,0.03340471092077088,0.012086560034739813,2017-04-26 04:00:00
t2766,DE,0.05376071980880079,0.01563169164882227,0.07262792212491857,2017-04-26 05:00:00
t2767,DE,0.024912132714747647,0.011991434689507495,0.178005355721213,2017-04-26 06:00:00
t2768,DE,0.01608322789259103,0.012419700214132762,0.3015850039806036,2017-04-26 07:00:00
t2769,DE,0.021734851680022493,0.026338329764453963,0.38130563798219586,2017-04-26 08:00:00
t2770,DE,0.028005061155630534,0.044325481798715205,0.42697401751465586,2017-04-26 09:00:00
t2771,DE,0.032110220722620555,0.05524625267665953,0.44568285445465733,2017-04-26 10:00:00
t2772,DE,0.035596794601433994,0.024839400428265525,0.4570818556850257,2017-04-26 11:00:00
t2773,DE,0.040433009981723604,0.049892933618843685,0.44253455887674603,2017-04-26 12:00:00
t2774,DE,0.04532546042457472,0.03918629550321199,0.37783165665484547,2017-04-26 13:00:00
t2775,DE,0.0542949529031351,0.05182012847965739,0.2998480133169284,2017-04-26 14:00:00
t2776,DE,0.05578518206101504,0.12334047109207709,0.21647246146051966,2017-04-26 15:00:00
t2777,DE,0.059749753971601295,0.14732334047109208,0.1249909531736267,2017-04-26 16:00:00
t2778,DE,0.05606635737382258,0.1511777301927195,0.04349714120286603,2017-04-26 17:00:00
t2779,DE,0.047153099957823706,0.16359743040685226,0.0030035463559383367,2017-04-26 18:00:00
t2780,DE,0.039167721074089695,0.21477516059957175,0.0,2017-04-26 19:00:00
t2781,DE,0.03160410515956699,0.24154175588865096,0.0,2017-04-26 20:00:00
t2782,DE,0.03345986222409673,0.2190578158458244,0.0,2017-04-26 21:00:00
t2783,DE,0.0411640657950232,0.176017130620985,0.0,2017-04-26 22:00:00
t2784,DE,0.04656263180092788,0.1443254817987152,0.0,2017-04-26 23:00:00
t2785,DE,0.05139884718121749,0.17044967880085654,0.0,2017-04-27 00:00:00
t2786,DE,0.05353577955855476,0.18394004282655246,0.0,2017-04-27 01:00:00
t2787,DE,0.05488542106003093,0.1640256959314775,0.0,2017-04-27 02:00:00
t2788,DE,0.053985660059046814,0.1588865096359743,0.0002533111384526308,2017-04-27 03:00:00
t2789,DE,0.04701251230141994,0.1747323340471092,0.01447492219729319,2017-04-27 04:00:00
t2790,DE,0.03919583860537045,0.24132762312633832,0.08619816168488094,2017-04-27 05:00:00
t2791,DE,0.028089413749472797,0.24710920770877945,0.2066295143663603,2017-04-27 06:00:00
t2792,DE,0.03660902572754112,0.2593147751605996,0.3462763262647463,2017-04-27 07:00:00
t2793,DE,0.060452692253620134,0.3387580299785867,0.43960338713179414,2017-04-27 08:00:00
t2794,DE,0.07605792211443835,0.36916488222698074,0.48378808713903165,2017-04-27 09:00:00
