timestep,node,curtailment
40,n3321,0.0
41,n3321,0.0
42,n3321,0.0
43,n3321,0.0
44,n3321,0.0
45,n3321,0.0
46,n3321,0.0
47,n3321,0.0
48,n3321,0.0
49,n3321,0.0
1,n3322,0.0
2,n3322,0.0
3,n3322,0.0
4,n3322,0.0
5,n3322,0.0
6,n3322,0.0
7,n3322,0.0
8,n3322,0.0
9,n3322,0.0
10,n3322,0.0
11,n3322,0.0
12,n3322,0.0
13,n3322,0.0
14,n3322,0.0
15,n3322,0.0
16,n3322,0.0
17,n3322,0.0
18,n3322,0.0
19,n3322,0.0
20,n3322,0.0
21,n3322,0.0
22,n3322,0.0
23,n3322,0.0
24,n3322,0.0
25,n3322,0.0
26,n3322,0.0
27,n3322,0.0
28,n3322,0.0
29,n3322,0.0
30,n3322,0.0
31,n3322,0.0
32,n3322,0.0
33,n3322,0.0
34,n3322,0.0
35,n3322,0.0
36,n3322,0.0
37,n3322,0.0
38,n3322,0.0
39,n3322,0.0
40,n3322,0.0
41,n3322,0.0
42,n3322,0.0
43,n3322,0.0
44,n3322,0.0
45,n3322,0.0
46,n3322,0.0
47,n3322,0.0
48,n3322,0.0
49,n3322,0.0
1,n3323,0.0
2,n3323,0.0
3,n3323,0.0
4,n3323,0.0
5,n3323,0.0
6,n3323,0.0
7,n3323,0.0
8,n3323,0.0
9,n3323,0.0
10,n3323,0.0
11,n3323,0.0
12,n3323,0.0
13,n3323,0.0
14,n3323,0.0
15,n3323,0.0
16,n3323,0.0
17,n3323,0.0
18,n3323,0.0
19,n3323,0.0
20,n3323,0.0
21,n3323,0.0
22,n3323,0.0
23,n3323,0.0
24,n3323,0.0
25,n3323,0.0
26,n3323,0.0
27,n3323,0.0
28,n3323,0.0
29,n3323,0.0
30,n3323,0.0
31,n3323,0.0
32,n3323,0.0
33,n3323,0.0
34,n3323,0.0
35,n3323,0.0
36,n3323,0.0
37,n3323,0.0
38,n3323,0.0
39,n3323,0.0
40,n3323,0.0
41,n3323,0.0
42,n3323,0.0
43,n3323,0.0
44,n3323,0.0
45,n3323,0.0
46,n3323,0.0
47,n3323,0.0
48,n3323,0.0
49,n3323,0.0
1,n3324,0.0
2,n3324,0.0
3,n3324,0.0
4,n3324,0.0
5,n3324,0.0
6,n3324,0.0
7,n3324,0.0
8,n3324,0.0
9,n3324,0.0
10,n3324,0.0
11,n3324,0.0
12,n3324,0.0
13,n3324,0.0
14,n3324,0.0
15,n3324,0.0
16,n3324,0.0
17,n3324,0.0
18,n3324,0.0
19,n3324,0.0
20,n3324,0.0
21,n3324,0.0
22,n3324,0.0
23,n3324,0.0
24,n3324,0.0
25,n3324,0.0
26,n3324,0.0
27,n3324,0.0
28,n3324,0.0
29,n3324,0.0
30,n3324,0.0
31,n3324,0.0
32,n3324,0.0
33,n3324,0.0
34,n3324,0.0
35,n3324,0.0
36,n3324,0.0
37,n3324,0.0
38,n3324,0.0
39,n3324,0.0
40,n3324,0.0
41,n3324,0.0
42,n3324,0.0
43,n3324,0.0
44,n3324,0.0
45,n3324,0.0
46,n3324,0.0
47,n3324,0.0
48,n3324,0.0
49,n3324,0.0
1,n3453,0.0
2,n3453,0.0
3,n3453,0.0
4,n3453,0.0
5,n3453,0.0
6,n3453,0.0
7,n3453,0.0
8,n3453,0.0
9,n3453,0.0
10,n3453,0.0
11,n3453,0.0
12,n3453,0.0
13,n3453,0.0
14,n3453,0.0
15,n3453,0.0
16,n3453,0.0
17,n3453,0.0
18,n3453,0.0
19,n3453,0.0
20,n3453,0.0
21,n3453,0.0
22,n3453,0.0
23,n3453,0.0
24,n3453,0.0
25,n3453,0.0
26,n3453,0.0
27,n3453,0.0
28,n3453,0.0
29,n3453,0.0
30,n3453,0.0
31,n3453,0.0
32,n3453,0.0
33,n3453,0.0
34,n3453,0.0
35,n3453,0.0
36,n3453,0.0
37,n3453,0.0
38,n3453,0.0
39,n3453,0.0
40,n3453,0.0
41,n3453,0.0
42,n3453,0.0
43,n3453,0.0
44,n3453,0.0
45,n3453,0.0
46,n3453,0.0
47,n3453,0.0
48,n3453,0.0
49,n3453,0.0
1,n3454,0.0
2,n3454,0.0
3,n3454,0.0
4,n3454,0.0
5,n3454,0.0
6,n3454,0.0
7,n3454,0.0
8,n3454,0.0
9,n3454,0.0
10,n3454,0.0
11,n3454,0.0
12,n3454,0.0
13,n3454,0.0
14,n3454,0.0
15,n3454,0.0
16,n3454,0.0
17,n3454,0.0
18,n3454,0.0
19,n3454,0.0
20,n3454,0.0
21,n3454,0.0
22,n3454,0.0
23,n3454,0.0
24,n3454,0.0
25,n3454,0.0
26,n3454,0.0
27,n3454,0.0
28,n3454,0.0
29,n3454,0.0
30,n3454,0.0
31,n3454,0.0
32,n3454,0.0
33,n3454,0.0
34,n3454,0.0
35,n3454,0.0
36,n3454,0.0
37,n3454,0.0
38,n3454,0.0
39,n3454,0.0
40,n3454,0.0
41,n3454,0.0
42,n3454,0.0
43,n3454,0.0
44,n3454,0.0
45,n3454,0.0
46,n3454,0.0
47,n3454,0.0
48,n3454,0.0
49,n3454,0.0
1,n3455,0.0
2,n3455,0.0
3,n3455,0.0
4,n3455,0.0
5,n3455,0.0
6,n3455,0.0
7,n3455,0.0
8,n3455,0.0
9,n3455,0.0
10,n3455,0.0
11,n3455,0.0
12,n3455,0.0
13,n3455,0.0
14,n3455,0.0
15,n3455,0.0
16,n3455,0.0
17,n3455,0.0
18,n3455,0.0
19,n3455,0.0
20,n3455,0.0
21,n3455,0.0
22,n3455,0.0
23,n3455,0.0
24,n3455,0.0
25,n3455,0.0
26,n3455,0.0
27,n3455,0.0
28,n3455,0.0
29,n3455,0.0
30,n3455,0.0
31,n3455,0.0
32,n3455,0.0
33,n3455,0.0
34,n3455,0.0
35,n3455,0.0
36,n3455,0.0
37,n3455,0.0
38,n3455,0.0
39,n3455,0.0
40,n3455,0.0
41,n3455,0.0
42,n3455,0.0
43,n3455,0.0
44,n3455,0.0
45,n3455,0.0
46,n3455,0.0
47,n3455,0.0
48,n3455,0.0
49,n3455,0.0
1,n3456,0.0
2,n3456,0.0
3,n3456,0.0
4,n3456,0.0
5,n3456,0.0
6,n3456,0.0
7,n3456,0.0
8,n3456,0.0
9,n3456,0.0
10,n3456,0.0
11,n3456,0.0
12,n3456,0.0
13,n3456,0.0
14,n3456,0.0
15,n3456,0.0
16,n3456,0.0
17,n3456,0.0
18,n3456,0.0
19,n3456,0.0
20,n3456,0.0
21,n3456,0.0
22,n3456,0.0
23,n3456,0.0
24,n3456,0.0
25,n3456,0.0
26,n3456,0.0
27,n3456,0.0
28,n3456,0.0
29,n3456,0.0
30,n3456,0.0
31,n3456,0.0
32,n3456,0.0
33,n3456,0.0
34,n3456,0.0
35,n3456,0.0
36,n3456,0.0
37,n3456,0.0
38,n3456,0.0
39,n3456,0.0
40,n3456,0.0
41,n3456,0.0
42,n3456,0.0
43,n3456,0.0
44,n3456,0.0
45,n3456,0.0
46,n3456,0.0
47,n3456,0.0
48,n3456,0.0
49,n3456,0.0
1,n3457,0.0
2,n3457,0.0
3,n3457,0.0
4,n3457,0.0
5,n3457,0.0
6,n3457,0.0
7,n3457,0.0
8,n3457,0.0
9,n3457,0.0
10,n3457,0.0
11,n3457,0.0
12,n3457,0.0
13,n3457,0.0
14,n3457,0.0
15,n3457,0.0
16,n3457,0.0
17,n3457,0.0
